subdistrict_code,subdistrict_name,district_code
00473,Bikaner,101
00474,Poogal,101
00475,Lunkaransar,101
00476,Kolayat,101
00477,Nokha,101
00478,Khajuwala,101
00479,Chhatargarh,101
00480,Sridungargarh,101
00481,Taranagar,102
00482,Rajgarh,102
00483,Sardarshahar,102
00484,Churu,102
00485,Ratangarh,102
00486,Sujangarh,102
00487,Jhunjhunun,103
00488,Chirawa,103
00489,Buhana,103
00490,Khetri,103
00491,Nawalgarh,103
00492,Udaipurwati,103
00493,Behror,104
00494,Mandawar,104
00495,Kotkasim,104
00496,Tijara,104
00497,Kishangarh Bas,104
00498,Ramgarh,104
00499,Alwar,104
00500,Bansur,104
00501,Thanagazi,104
00502,Rajgarh,104
00503,Lachhmangarh,104
00504,Kathumar,104
00505,Pahari,105
00506,Kaman,105
00507,Nagar,105
00508,Deeg,105
00509,Nadbai,105
00510,Kumher,105
00511,Bharatpur,105
00512,Weir,105
00513,Bayana,105
00514,Rupbas,105
00515,Baseri,106
00516,Bari,106
00517,Sepau,106
00518,Dhaulpur,106
00519,Rajakhera,106
00520,Todabhim,107
00521,Nadoti,107
00522,Hindaun,107
00523,Karauli,107
00524,Mandrail,107
00525,Sapotra,107
00526,Gangapur,108
00527,Bamanwas,108
00528,Malarna Doongar,108
00529,Bonli,108
00530,Chauth Ka Barwara,108
00531,Sawai Madhopur,108
00532,Khandar,108
00533,Baswa,109
00534,Mahwa,109
00535,Sikrai,109
00536,Dausa,109
00537,Lalsot,109
00538,Kotputli,110
00539,Viratnagar,110
00540,Shahpura,110
00541,Chomu,110
00542,Phulera (Hq.Sambhar),110
00543,Mauzamabad,110
00544,Phagi,110
00545,Sanganer,110
00546,Jaipur,110
00547,Amber,110
00548,Jamwa Ramgarh,110
00549,Bassi,110
00550,Chaksu,110
00551,Fatehpur,111
00552,Lachhmangarh,111
00553,Sikar,111
00554,Danta Ramgarh,111
00555,Sri Madhopur,111
00556,Neem-Ka-Thana,111
00557,Ladnu,112
00558,Didwana,112
00559,Jayal,112
00560,Nagaur,112
00561,Kheenvsar,112
00562,Merta,112
00563,Degana,112
00564,Parbatsar,112
00565,Makrana,112
00566,Nawa,112
00567,Phalodi,113
00568,Osian,113
00569,Bhopalgarh,113
00570,Jodhpur,113
00571,Shergarh,113
00572,Luni,113
00573,Bilara,113
00574,Jaisalmer,114
00575,Pokaran,114
00576,Fatehgarh,114
00577,Sheo,115
00578,Baytoo,115
00579,Pachpadra,115
00580,Siwana,115
00581,Gudha Malani,115
00582,Barmer,115
00583,Ramsar,115
00584,Chohtan,115
00585,Sayla,116
00586,Ahore,116
00587,Jalor,116
00588,Bhinmal,116
00589,Bagora,116
00590,Sanchore,116
00591,Raniwara,116
00592,Sheoganj,117
00593,Sirohi,117
00594,Pindwara,117
00595,Abu Road,117
00596,Reodar,117
00597,Jaitaran,118
00598,Raipur,118
00599,Sojat,118
00600,Rohat,118
00601,Pali,118
00602,Marwar Junction,118
00603,Desuri,118
00604,Sumerpur,118
00605,Bali,118
00606,Kishangarh,119
00607,Ajmer,119
00608,Peesangan,119
00609,Beawar,119
00610,Masuda,119
00611,Nasirabad,119
00612,Bhinay,119
00613,Sarwar,119
00614,Kekri,119
00615,Malpura,120
00616,Peeplu,120
00617,Niwai,120
00618,Tonk,120
00619,Todaraisingh,120
00620,Deoli,120
00621,Uniara,120
00622,Hindoli,121
00626,Bundi,121
00623,Nainwa,121
00624,Indragarh,121
00625,Keshoraipatan,121
00627,Asind,122
00628,Hurda,122
00629,Shahpura,122
00630,Banera,122
00631,Mandal,122
00632,Raipur,122
00633,Sahara,122
00634,Bhilwara,122
00635,Kotri,122
00636,Jahazpur,122
00637,Mandalgarh,122
00638,Beejoliya,122
00639,Bhim,123
00640,Deogarh,123
00641,Amet,123
00642,Kumbhalgarh,123
00643,Rajsamand,123
00644,Railmagra,123
00645,Nathdwara,123
00646,Dungarpur,124
00647,Aspur,124
00648,Sagwara,124
00649,Simalwara,124
00650,Ghatol,125
00651,Garhi,125
00652,Banswara,125
00653,Bagidora,125
00654,Kushalgarh,125
00655,Rashmi,126
00656,Gangrar,126
00657,Begun,126
00658,Rawatbhata,126
00659,Chittaurgarh,126
00660,Kapasan,126
00661,Dungla,126
00662,Bhadesar,126
00663,Nimbahera,126
00664,Bari Sadri,126
00665,Pipalda,127
00666,Digod,127
00667,Ladpura,127
00668,Ramganj Mandi,127
00669,Sangod,127
00670,Mangrol,128
00671,Antah,128
00672,Baran,128
00673,Atru,128
00674,Kishanganj,128
00675,Shahbad,128
00676,Chhabra,128
00677,Chhipabarod,128
00678,Khanpur,129
00679,Jhalrapatan,129
00680,Aklera,129
00681,Manohar Thana,129
00682,Pachpahar,129
00683,Pirawa,129
00684,Gangdhar,129
00685,Mavli,130
00686,Gogunda,130
00687,Kotra,130
00688,Jhadol,130
00689,Girwa,130
00690,Vallabhnagar,130
00691,Lasadiya,130
00692,Salumbar,130
00693,Sarada,130
00694,Rishabhdeo,130
00695,Kherwara,130
00696,Dhariawad,131
00697,Peepalkhoont,131
00698,Chhoti Sadri,131
00699,Pratapgarh,131
00700,Arnod,131
00701,Behat,132
00702,Saharanpur,132
00703,Nakur,132
00704,Deoband,132
00705,Rampur Maniharan,132
00706,Kairana,133
00707,Shamli,133
00708,Muzaffarnagar,133
00709,Budhana,133
00710,Khatauli,133
00711,Jansath,133
00712,Najibabad,134
00713,Bijnor,134
00714,Nagina,134
00715,Dhampur,134
00716,Chandpur,134
00717,Thakurdwara,135
00718,Kanth,135
00719,Moradabad,135
00720,Bilari,135
00721,Sambhal,135
00722,Chandausi,135
00723,Suar,136
00724,Tanda,136
00725,Bilaspur,136
00726,Rampur,136
00727,Shahabad,136
00728,Milak,136
00729,Dhanaura,137
00730,Amroha,137
00731,Hasanpur,137
00732,Sardhana,138
00733,Mawana,138
00734,Meerut,138
00735,Baraut,139
00736,Baghpat,139
00737,Khekada,139
00738,Modinagar,140
00739,Ghaziabad,140
00740,Hapur,140
00741,Garhmukteshwar,140
00742,Dadri,141
00743,Gautam Buddha Nagar,141
00744,Jewar,141
00745,Sikandrabad,142
00746,Bulandshahr,142
00747,Siana,142
00748,Anupshahr,142
00749,Debai,142
00750,Shikarpur,142
00751,Khurja,142
00752,Khair,143
00753,Gabhana,143
00754,Atrauli,143
00755,Koil,143
00756,Iglas,143
00757,Sasni,144
00758,Sikandra Rao,144
00759,Hathras,144
00760,Sadabad,144
00761,Chhata,145
00762,Mat,145
00763,Mahavan,145
00764,Mathura,145
00765,Etmadpur,146
00766,Agra,146
00767,Kiraoli,146
00768,Kheragarh,146
00769,Fatehabad,146
00770,Bah,146
00771,Tundla,147
00772,Firozabad,147
00773,Jasrana,147
00774,Shikohabad,147
00775,Mainpuri,148
00776,Karhal,148
00777,Bhogaon,148
00778,Gunnaur,149
00779,Bisauli,149
00780,Bilsi,149
00781,Sahaswan,149
00782,Budaun,149
00783,Dataganj,149
00784,Baheri,150
00785,Meerganj,150
00786,Aonla,150
00787,Bareilly,150
00788,Nawabganj,150
00789,Faridpur,150
00790,Pilibhit,151
00791,Bisalpur,151
00792,Puranpur,151
00793,Powayan,152
00794,Tilhar,152
00795,Shahjahanpur,152
00796,Jalalabad,152
00797,Nighasan,153
00798,Palia,153
00799,Gola Gokaran Nath,153
00800,Mohammdi,153
00801,Lakhimpur,153
00802,Dhaurahara,153
00803,Misrikh,154
00804,Sitapur,154
00805,Laharpur,154
00806,Biswan,154
00807,Mahmudabad,154
00808,Sidhauli,154
00809,Shahabad,155
00810,Sawayajpur,155
00811,Hardoi,155
00812,Bilgram,155
00813,Sandila,155
00814,Safipur,156
00815,Hasanganj,156
00816,Unnao,156
00817,Purwa,156
00818,Bighapur,156
00819,Malihabad,157
00820,Bakshi Ka Talab,157
00821,Lucknow,157
00822,Mohanlalganj,157
00823,Maharajganj,158
00824,Tiloi,158
00825,Rae Bareli,158
00826,Lalganj,158
00827,Dalmau,158
00828,Unchahar,158
00829,Salon,158
00830,Kaimganj,159
00831,Amritpur,159
00832,Farrukhabad,159
00833,Chhibramau,160
00834,Kannauj,160
00835,Tirwa,160
00836,Jaswantnagar,161
00837,Saifai,161
00838,Etawah,161
00839,Bharthana,161
00840,Chakarnagar,161
00841,Bidhuna,162
00842,Auraiya,162
00843,Rasulabad,163
00844,Derapur,163
00845,Akbarpur,163
00846,Bhognipur,163
00847,Sikandra,163
00848,Bilhaur,164
00849,Kanpur,164
00850,Ghatampur,164
00851,Madhogarh,165
00852,Jalaun,165
00853,Kalpi,165
00854,Orai,165
00855,Konch,165
00856,Moth,166
00857,Garautha,166
00858,Tahrauli,166
00859,Mauranipur,166
00860,Jhansi,166
00861,Talbehat,167
00862,Lalitpur,167
00863,Mahroni,167
00864,Hamirpur,168
00865,Rath,168
00866,Sarila,168
00867,Maudaha,168
00868,Kulpahar,169
00869,Charkhari,169
00870,Mahoba,169
00871,Banda,170
00872,Baberu,170
00873,Atarra,170
00874,Naraini,170
00875,Karwi,171
00876,Mau,171
00877,Bindki,172
00878,Fatehpur,172
00879,Khaga,172
00880,Lalganj,173
00881,Kunda,173
00882,Pratapgarh,173
00883,Patti,173
00884,Raniganj,173
00885,Sirathu,174
00886,Manjhanpur,174
00887,Chail,174
00888,Soraon,175
00889,Phulpur,175
00890,Allahabad,175
00891,Bara,175
00892,Karchhana,175
00893,Handia,175
00894,Meja,175
00895,Koraon,175
00896,Fatehpur,176
00897,Ramnagar,176
00898,Nawabganj,176
00899,Sirauli Gauspur,176
00900,Ramsanehighat,176
00901,Haidergarh,176
00902,Rudauli,177
00903,Milkipur,177
00904,Sohawal,177
00905,Faizabad,177
00906,Bikapur,177
00907,Tanda,178
00908,Allapur,178
00909,Jalalpur,178
00910,Akbarpur,178
00911,Bhiti,178
00912,Musafirkhana,179
00913,Gauriganj,179
00914,Amethi,179
00915,Sultanpur,179
00916,Jaisinghpur,179
00917,Lambhua,179
00918,Kadipur,179
00919,Nanpara,180
00920,Mahasi,180
00921,Bahraich,180
00922,Kaiserganj,180
00923,Bhinga,181
00924,Ikauna,181
00925,Balrampur,182
00926,Tulsipur,182
00927,Utraula,182
00928,Gonda,183
00929,Colonelganj,183
00930,Tarabganj,183
00931,Mankapur,183
00932,Shohratgarh,184
00933,Naugarh,184
00934,Bansi,184
00935,Itwa,184
00936,Domariyaganj,184
00937,Bhanpur,185
00938,Harraiya,185
00939,Basti,185
00940,Rudhauli,185
00941,Mehdawal,186
00942,Khalilabad,186
00943,Ghanghata,186
00944,Nautanwa,187
00945,Nichlaul,187
00946,Pharenda,187
00947,Maharajganj,187
00948,Campierganj,188
00949,Sahjanwa,188
00950,Gorakhpur,188
00951,Chauri Chaura,188
00952,Bansgaon,188
00953,Khajni,188
00954,Gola,188
00955,Padrauna,189
00956,Hata,189
00957,Kasya,189
00958,Tamkuhi Raj,189
00959,Deoria,190
00960,Rudrapur,190
00961,Barhaj,190
00962,Salempur,190
00963,Bhatpar Rani,190
00964,Burhanpur,191
00965,Sagri,191
00966,Azamgarh,191
00967,Nizamabad,191
00968,Phulpur,191
00969,Lalganj,191
00970,Mehnagar,191
00971,Ghosi,192
00972,Madhuban,192
00973,Maunath Bhanjan,192
00974,Muhammadabad Gohna,192
00975,Belthara Road,193
00976,Sikanderpur,193
00977,Rasra,193
00978,Ballia,193
00979,Bansdih,193
00980,Bairia,193
00981,Shahganj,194
00982,Badlapur,194
00983,Machhlishahr,194
00984,Jaunpur,194
00985,Mariahu,194
00986,Kerakat,194
00987,Jakhania,195
00988,Saidpur,195
00989,Ghazipur,195
00990,Mohammadabad,195
00991,Zamania,195
00992,Sakaldiha,196
00993,Chandauli,196
00994,Chakia,196
00995,Pindra,197
00996,Varanasi,197
00997,Bhadohi,198
00998,Gyanpur,198
00999,Aurai,198
01000,Mirzapur,199
01001,Lalganj,199
01002,Marihan,199
01003,Chunar,199
01004,Ghorawal,200
01005,Robertsganj,200
01006,Dudhi,200
01007,Aliganj,201
01008,Etah,201
01009,Jalesar,201
01010,Kasganj,202
01011,Sahawar,202
01012,Patiyali,202
01013,Sidhaw,203
01014,Ramnagar,203
01015,Gaunaha,203
01016,Mainatanr,203
01017,Narkatiaganj,203
01018,Lauriya,203
01019,Bagaha,203
01020,Piprasi,203
01021,Madhubani,203
01022,Bhitaha,203
01023,Thakrahan,203
01024,Jogapatti,203
01025,Chanpatia,203
01026,Sikta,203
01027,Majhaulia,203
01028,Bettiah,203
01029,Bairia,203
01030,Nautan,203
01031,Raxaul,204
01032,Adapur,204
01033,Ramgarhwa,204
01034,Sugauli,204
01035,Banjaria,204
01036,Narkatia,204
01037,Bankatwa,204
01038,Ghorasahan,204
01039,Dhaka,204
01040,Chiraia,204
01041,Motihari,204
01042,Turkaulia,204
01043,Harsidhi,204
01044,Paharpur,204
01045,Areraj,204
01046,Sangrampur,204
01047,Kesaria,204
01048,Kalyanpur,204
01049,Kotwa,204
01050,Piprakothi,204
01051,Chakia(Pipra),204
01052,Pakri Dayal,204
01053,Patahi,204
01054,Phenhara,204
01055,Madhuban,204
01056,Tetaria,204
01057,Mehsi,204
01058,Purnahiya,205
01059,Piprarhi,205
01060,Sheohar,205
01061,Dumri Katsari,205
01062,Tariani Chowk,205
01063,Bairgania,206
01064,Suppi,206
01065,Majorganj,206
01066,Sonbarsa,206
01067,Parihar,206
01068,Sursand,206
01069,Bathnaha,206
01070,Riga,206
01071,Parsauni,206
01072,Belsand,206
01073,Runisaidpur,206
01074,Dumra,206
01075,Bajpatti,206
01076,Charaut,206
01077,Pupri,206
01078,Nanpur,206
01079,Bokhara,206
01080,Madhwapur,207
01081,Harlakhi,207
01082,Basopatti,207
01083,Jainagar,207
01084,Ladania,207
01085,Laukaha,207
01086,Laukahi,207
01087,Phulparas,207
01088,Babubarhi,207
01089,Khajauli,207
01090,Kaluahi,207
01091,Benipatti,207
01092,Bisfi,207
01093,Madhubani,207
01094,Pandaul,207
01095,Rajnagar,207
01096,Andhratharhi,207
01097,Jhanjharpur,207
01098,Ghoghardiha,207
01099,Lakhnaur,207
01100,Madhepur,207
01101,Nirmali,208
01102,Basantpur,208
01103,Chhatapur,208
01104,Pratapganj,208
01105,Raghopur,208
01106,Saraigarh Bhaptiyahi,208
01107,Kishanpur,208
01108,Marauna,208
01109,Supaul,208
01110,Pipra,208
01111,Tribeniganj,208
01112,Narpatganj,209
01113,Forbesganj,209
01114,Bhargama,209
01115,Raniganj,209
01116,Araria,209
01117,Kursakatta,209
01118,Sikti,209
01119,Palasi,209
01120,Jokihat,209
01121,Terhagachh,210
01122,Dighalbank,210
01123,Thakurganj,210
01124,Pothia,210
01125,Bahadurganj,210
01126,Kochadhamin,210
01127,Kishanganj,210
01128,Banmankhi,211
01129,Barhara,211
01130,Bhawanipur,211
01131,Rupauli,211
01132,Dhamdaha,211
01133,Krityanand Nagar,211
01134,Purnia East,211
01135,Kasba,211
01136,Srinagar,211
01137,Jalalgarh,211
01138,Amour,211
01139,Baisa,211
01140,Baisi,211
01141,Dagarua,211
01142,Falka,212
01143,Korha,212
01144,Hasanganj,212
01145,Kadwa,212
01146,Balrampur,212
01147,Barsoi,212
01148,Azamnagar,212
01149,Pranpur,212
01150,Dandkhora,212
01151,Katihar,212
01152,Mansahi,212
01153,Barari,212
01154,Sameli,212
01155,Kursela,212
01156,Manihari,212
01157,Amdabad,212
01158,Gamharia,213
01159,Singheshwar,213
01160,Ghailarh,213
01161,Madhepura,213
01162,Shankarpur,213
01163,Kumarkhand,213
01164,Murliganj,213
01165,Gwalpara,213
01166,Bihariganj,213
01167,Kishanganj,213
01168,Puraini,213
01169,Alamnagar,213
01170,Chausa,213
01171,Nauhatta,214
01172,Satar Kataiya,214
01173,Mahishi,214
01174,Kahara,214
01175,Saur Bazar,214
01176,Patarghat,214
01177,Sonbarsa,214
01178,Simri Bakhtiarpur,214
01179,Salkhua,214
01180,Banma Itahri,214
01181,Jale,215
01182,Singhwara,215
01183,Keotiranway,215
01184,Darbhanga,215
01185,Manigachhi,215
01186,Tardih,215
01187,Alinagar,215
01188,Benipur,215
01189,Bahadurpur,215
01190,Hanumannagar,215
01191,Hayaghat,215
01192,Baheri,215
01193,Biraul,215
01194,Ghanshyampur,215
01195,Kiratpur,215
01196,Gora Bauram,215
01197,Kusheshwar Asthan,215
01198,Kusheshwar Asthan Purbi,215
01199,Sahebganj,216
01200,Baruraj (Motipur),216
01201,Paroo,216
01202,Saraiya,216
01203,Marwan,216
01204,Kanti,216
01205,Minapur,216
01206,Bochaha,216
01207,Aurai,216
01208,Katra,216
01209,Gaighat,216
01210,Bandra,216
01211,Dholi (Moraul),216
01212,Musahri,216
01213,Kurhani,216
01214,Sakra,216
01215,Katiya,217
01216,Bijaipur,217
01217,Bhorey,217
01218,Pach Deuri,217
01219,Kuchaikote,217
01220,Phulwaria,217
01221,Hathua,217
01222,Uchkagaon,217
01223,Thawe,217
01224,Gopalganj,217
01225,Manjha,217
01226,Barauli,217
01227,Sidhwalia,217
01228,Baikunthpur,217
01229,Nautan,218
01230,Siwan,218
01231,Barharia,218
01232,Goriakothi,218
01233,Lakri Nabiganj,218
01234,Basantpur,218
01235,Bhagwanpur Hat,218
01236,Maharajganj,218
01237,Pachrukhi,218
01238,Hussainganj,218
01239,Ziradei,218
01240,Mairwa,218
01241,Guthani,218
01242,Darauli,218
01243,Andar,218
01244,Raghunathpur,218
01245,Hasanpura,218
01246,Daraundha,218
01247,Siswan,218
01248,Mashrakh,219
01249,Panapur,219
01250,Taraiya,219
01251,Ishupur,219
01252,Baniapur,219
01253,Lahladpur,219
01254,Ekma,219
01255,Manjhi,219
01256,Jalalpur,219
01257,Revelganj,219
01258,Chapra,219
01259,Nagra,219
01260,Marhaura,219
01261,Amnour,219
01262,Maker,219
01263,Parsa,219
01264,Dariapur,219
01265,Garkha,219
01266,Dighwara,219
01267,Sonepur,219
01268,Vaishali,220
01269,Paterhi Belsar,220
01270,Lalganj,220
01271,Bhagwanpur,220
01272,Goraul,220
01273,Chehra Kalan,220
01274,Patepur,220
01275,Mahua,220
01276,Jandaha,220
01277,Raja Pakar,220
01278,Hajipur,220
01279,Raghopur,220
01280,Bidupur,220
01281,Desri,220
01282,Sahdai Buzurg,220
01283,Mahnar,220
01284,Kalyanpur,221
01285,Warisnagar,221
01286,Shivaji Nagar,221
01287,Khanpur,221
01288,Samastipur,221
01289,Pusa,221
01290,Tajpur,221
01291,Morwa,221
01292,Patori,221
01293,Mohanpur,221
01294,Mohiuddinagar,221
01295,Sarairanjan,221
01296,Vidyapati Nagar,221
01297,Dalsinghsarai,221
01298,Ujiarpur,221
01299,Bibhutpur,221
01300,Rosera,221
01301,Singhia,221
01302,Hasanpur,221
01303,Bithan,221
01304,Khudabandpur,222
01305,Chhorahi,222
01306,Garhpura,222
01307,Cheria Bariarpur,222
01308,Bhagwanpur,222
01309,Mansurchak,222
01310,Bachhwara,222
01311,Teghra,222
01312,Barauni,222
01313,Birpur,222
01314,Begusarai,222
01315,Naokothi,222
01316,Bakhri,222
01317,Dandari,222
01318,Sahebpur Kamal,222
01319,Balia,222
01320,Matihani,222
01321,Shamho Akha Kurha,222
01322,Alauli,223
01323,Khagaria,223
01324,Mansi,223
01325,Chautham,223
01326,Beldaur,223
01327,Gogri,223
01328,Parbatta,223
01329,Narayanpur,224
01330,Bihpur,224
01331,Kharik,224
01332,Naugachhia,224
01333,Rangra Chowk,224
01334,Gopalpur,224
01335,Pirpainti,224
01336,Colgong,224
01337,Ismailpur,224
01338,Sabour,224
01339,Nathnagar,224
01340,Sultanganj,224
01341,Shahkund,224
01342,Goradih,224
01343,Jagdishpur,224
01344,Sonhaula,224
01345,Shambhuganj,225
01346,Amarpur,225
01347,Rajaun,225
01348,Dhuraiya,225
01349,Barahat,225
01350,Banka,225
01351,Phulidumar,225
01352,Belhar,225
01353,Chanan,225
01354,Katoria,225
01355,Bausi,225
01356,Munger,226
01357,Bariarpur,226
01358,Jamalpur,226
01359,Dharhara,226
01360,Kharagpur,226
01361,Asarganj,226
01362,Tarapur,226
01363,Tetiha Bambor,226
01364,Sangrampur,226
01365,Barahiya,227
01366,Pipariya,227
01367,Surajgarha,227
01368,Lakhisarai,227
01369,Chanan*,227
01370,Ramgarh Chowk,227
01371,Halsi,227
01372,Barbigha,228
01373,Shekhopur Sarai,228
01374,Sheikhpura,228
01375,Ghat Kusumbha,228
01376,Chewara,228
01377,Ariari,228
01378,Karai Parsurai,229
01379,Nagar Nausa,229
01380,Harnaut,229
01381,Chandi,229
01382,Rahui,229
01383,Bind,229
01384,Sarmera,229
01385,Asthawan,229
01386,Bihar,229
01387,Noorsarai,229
01388,Tharthari,229
01389,Parbalpur,229
01390,Hilsa,229
01391,Ekangarsarai,229
01392,Islampur,229
01393,Ben,229
01394,Rajgir,229
01395,Silao,229
01396,Giriak,229
01397,Katrisarai,229
01398,Maner,230
01399,Dinapur-Cum-Khagaul,230
01400,Patna Rural,230
01401,Sampatchak,230
01402,Phulwari,230
01403,Bihta,230
01404,Naubatpur,230
01405,Bikram,230
01406,Dulhin Bazar,230
01407,Paliganj,230
01408,Masaurhi,230
01409,Dhanarua,230
01410,Punpun,230
01411,Fatwah,230
01412,Daniawan,230
01413,Khusrupur,230
01414,Bakhtiarpur,230
01415,Athmalgola,230
01416,Belchhi,230
01417,Barh,230
01418,Pandarak,230
01419,Ghoswari,230
01420,Mokameh,230
